번호,ID,프로모션 코드,생성일시
1,FRIEND001GK1Z,UNSHORT-FRIEND001GK1Z-D96B2E0D,20251118_135313
2,FRIEND0021ASO,UNSHORT-FRIEND0021ASO-71C8C788,20251118_135313
3,FRIEND003275A,UNSHORT-FRIEND003275A-8D2D5C4E,20251118_135313
4,FRIEND004QNO1,UNSHORT-FRIEND004QNO1-B75C6CB6,20251118_135313
5,FRIEND005MCND,UNSHORT-FRIEND005MCND-2855181D,20251118_135313
6,FRIEND0068GMG,UNSHORT-FRIEND0068GMG-F9B39FD8,20251118_135313
7,FRIEND007GZEZ,UNSHORT-FRIEND007GZEZ-459C9D93,20251118_135313
8,FRIEND008C6PV,UNSHORT-FRIEND008C6PV-375DE30F,20251118_135313
9,FRIEND009MEO4,UNSHORT-FRIEND009MEO4-B13F648D,20251118_135313
10,FRIEND010S6O2,UNSHORT-FRIEND010S6O2-9179CF17,20251118_135313
